Month,Price
02-1973,7.52
03-1973,7.55
04-1973,7.53
05-1973,7.39
06-1973,7.3
07-1973,7.49
08-1973,7.58
09-1973,7.75
10-1973,7.69
11-1973,8.06
12-1973,8.16
01-1974,8.55
02-1974,8.16
03-1974,7.81
04-1974,7.81
05-1974,7.87
06-1974,7.87
07-1974,7.87
08-1974,8.13
09-1974,8.06
10-1974,8.06
11-1974,8.06
12-1974,8.13
01-1975,8.13
02-1975,7.75
03-1975,7.75
04-1975,8
05-1975,8.1
06-1975,8.4
07-1975,8.51
08-1975,8.93
09-1975,8.94
10-1975,8.81
11-1975,9.09
12-1975,8.97
01-1976,8.91
02-1976,8.93
03-1976,8.97
04-1976,8.97
05-1976,9.3
06-1976,9.01
07-1976,8.97
08-1976,9.01
09-1976,8.85
10-1976,8.97
11-1976,8.93
12-1976,8.93
01-1977,8.81
02-1977,8.87
03-1977,8.82
04-1977,8.85
05-1977,8.83
06-1977,8.88
07-1977,8.73
08-1977,8.73
09-1977,8.73
10-1977,8.55
11-1977,8.62
12-1977,8.23
01-1978,8.1
02-1978,8.13
03-1978,8.33
04-1978,8.58
05-1978,8.44
06-1978,8.33
07-1978,7.97
08-1978,8.16
09-1978,7.97
10-1978,7.66
11-1978,8.33
12-1978,8.23
01-1979,8.29
02-1979,8.22
03-1979,8.16
04-1979,8.37
05-1979,8.16
06-1979,8.06
07-1979,7.96
08-1979,8.03
09-1979,8.07
10-1979,8.4
11-1979,8.03
12-1979,8
01-1980,8.06
02-1980,8.06
03-1980,8.22
04-1980,7.9
05-1980,7.75
06-1980,7.8
07-1980,7.8
08-1980,7.75
09-1980,7.75
10-1980,7.72
11-1980,7.82
12-1980,7.94
01-1981,8.1
02-1981,8.33
03-1981,8.27
04-1981,8.33
05-1981,8.48
06-1981,8.62
07-1981,9
08-1981,9.05
09-1981,9.12
10-1981,9.13
11-1981,9.12
12-1981,9.13
01-1982,9.14
02-1982,9.31
03-1982,9.35
04-1982,9.35
05-1982,9.39
06-1982,9.53
07-1982,9.56
08-1982,9.63
09-1982,9.71
10-1982,9.71
11-1982,9.74
12-1982,9.62
01-1983,9.91
02-1983,9.96
03-1983,10.02
04-1983,10
05-1983,9.98
06-1983,10.09
07-1983,10.14
08-1983,10.22
09-1983,10.2
10-1983,10.29
11-1983,10.42
12-1983,10.49
01-1984,10.76
02-1984,10.69
03-1984,10.76
04-1984,10.93
05-1984,11.05
06-1984,11.22
07-1984,11.55
08-1984,11.6
09-1984,11.92
10-1984,12.12
11-1984,12.29
12-1984,12.38
01-1985,12.67
02-1985,12.93
03-1985,12.2
04-1985,12.43
05-1985,12.47
06-1985,12.4
07-1985,11.8
08-1985,11.96
09-1985,11.97
10-1985,12.05
11-1985,12.05
12-1985,12.11
01-1986,12.34
02-1986,12.27
03-1986,12.31
04-1986,12.3
05-1986,12.77
06-1986,12.42
07-1986,12.58
08-1986,12.54
09-1986,12.77
10-1986,12.98
11-1986,13.1
12-1986,13.12
01-1987,13.04
02-1987,13.05
03-1987,12.94
04-1987,12.65
05-1987,12.84
06-1987,12.89
07-1987,13.11
08-1987,13.05
09-1987,13.11
10-1987,12.99
11-1987,12.89
12-1987,12.75
01-1988,13.08
02-1988,13.06
03-1988,12.96
04-1988,13.21
05-1988,13.47
06-1988,14.07
07-1988,14.17
08-1988,14.36
09-1988,14.55
10-1988,14.97
11-1988,14.95
12-1988,14.99
01-1989,15.18
02-1989,15.35
03-1989,15.63
04-1989,15.86
05-1989,16.28
06-1989,16.49
07-1989,16.44
08-1989,16.65
09-1989,16.69
10-1989,16.88
11-1989,16.86
12-1989,16.84
01-1990,16.88
02-1990,16.96
03-1990,17.18
04-1990,17.3
05-1990,17.378
06-1990,17.489
07-1990,17.393
08-1990,17.552
09-1990,18.08
10-1990,18.157
11-1990,18.187
12-1990,18.136
01-1991,18.655
02-1991,19.075
03-1991,19.617
04-1991,20.212
05-1991,20.91
06-1991,21.202
07-1991,25.88
08-1991,25.8
09-1991,25.803
10-1991,25.8
11-1991,25.81
12-1991,25.795
01-1992,26.001
02-1992,26.287
03-1992,31.348
04-1992,30.576
05-1992,30.604
06-1992,30.84
07-1992,30.098
08-1992,30.349
09-1992,30.048
10-1992,30.062
11-1992,30.289
12-1992,30.831
01-1993,31.377
02-1993,32.868
03-1993,31.201
04-1993,31.343
05-1993,31.377
06-1993,31.365
07-1993,31.368
08-1993,31.377
09-1993,31.37
10-1993,31.371
11-1993,31.371
12-1993,31.369
01-1994,31.366
02-1994,31.365
03-1994,31.37
04-1994,31.367
05-1994,31.37
06-1994,31.37
07-1994,31.37
08-1994,31.369
09-1994,31.363
10-1994,31.376
11-1994,31.395
12-1994,31.369
01-1995,31.375
02-1995,31.426
03-1995,31.415
04-1995,31.433
05-1995,31.425
06-1995,31.4
07-1995,31.415
08-1995,31.855
